country,daily_calories_supply,daily_fat_supply(grams),daily_protein_supply(grams)
Afghanistan,2185.18,37.85,62.17
Albania,2768.41,74.61,88.56
Algeria,2765.23,63.35,74.84
Angola,1889.54,42.28,43.09
Antigua and Barbuda,2184.44,79.32,73.37
Argentina,3122.92,110.32,99.92
Australia,3106.54,127.71,105.86
Austria,3521.95,154.87,100.29
Bahamas,2595.33,87.78,80.09
Bangladesh,2178.74,22.12,47.68
Barbados,2927.13,94.32,86.32
Belize,2635.59,70.49,68.8
Benin,2178.79,44.62,52.17
Bolivia,2074.26,44.76,56.19
Botswana,2134.13,50.35,64.42
Brazil,2846.31,85.11,74.07
Brunei,2748.62,70.89,81.85
Bulgaria,3127.77,100.61,92.1
Burkina Faso,2157.05,45.89,64.3
Cambodia,2021.13,25.46,48.92
Cameroon,2215.56,46.42,56.01
Canada,3228.13,134.83,99.25
Central African Republic,2048.38,62.95,43.18
Chad,1838.15,48.02,55.74
Chile,2731.62,71.38,75.38
China,2582.74,61.52,72.8
Colombia,2639.74,63.11,58.26
Congo,2092.87,47.76,43.22
Costa Rica,2696.9,72.88,67.95
Cote d'Ivoire,2717.33,52.23,56.11
Cuba,2945.87,65.53,70.84
Cyprus,2641.77,106.1,79.59
Denmark,3249.1,131.7,100.25
Djibouti,1844.56,42.68,45.74
Dominican Republic,2265.31,67.91,49.64
Ecuador,2287.41,76.19,53.49
Egypt,3187.67,58.86,86.97
El Salvador,2381.36,53.15,60.74
Fiji,2705.72,91.53,68.35
Finland,3132.21,129.11,100.44
France,3497.51,158.54,113.57
Gabon,2539.79,50.13,74.79
Gambia,2364.72,62.61,54.9
Germany,3353.49,138.87,96.35
Ghana,2266.69,39.36,48.98
Greece,3490.79,139.95,111.19
Grenada,2323.95,79.71,66.07
Guatemala,2276.77,45.52,58.56
Guinea,2408.15,52.03,52.69
Guinea-Bissau,2196.28,55.77,43.57
Guyana,2562.62,48.35,68.03
Haiti,1903.87,35.59,44.53
Honduras,2331.77,59.08,57.49
Hungary,3222.54,130.16,92.69
Iceland,3201.87,132.77,124.77
India,2263.15,41.88,54.92
Indonesia,2438.82,45.08,51.26
Iran,2895.9,62.79,78.29
Iraq,2562.97,59.47,63.43
Ireland,3581.03,133.39,112.42
Israel,3421.46,125.94,116.01
Italy,3547.41,144.39,108.54
Jamaica,2682.9,73.24,70.92
Japan,2838.77,81.93,92.48
Jordan,2762.56,76.53,72.78
Kenya,2135.15,45.59,60.36
Kiribati,2813.21,101.47,68.43
Kuwait,3101.31,99.37,94.66
Laos,2073.08,25.68,53.22
Lebanon,3075.51,98.64,81.99
Lesotho,2399.67,33.39,68.77
Liberia,2277.41,54.41,41.34
Madagascar,2178.31,30.33,51.51
Malawi,2158.41,32.9,59.1
Malaysia,2773.95,84.37,69.38
Maldives,2376.62,48.77,88.74
Mali,2307.67,52.17,65.97
Malta,3244.85,108.32,103.06
Mauritania,2509.28,64.83,76.85
Mauritius,2828.49,77.33,72.2
Mexico,3003.85,82.65,82.02
Mongolia,2241.18,80.18,76.65
Morocco,3013.54,58.28,82.18
Mozambique,1923.69,35.96,35.96
Myanmar,1872.23,42.57,51.59
Namibia,2144.05,42.15,61.48
Nepal,2179.64,36.32,56.04
Netherlands,3199.03,134.78,102.47
New Zealand,3143.44,120.99,96.93
Nicaragua,2160.28,46.41,55.2
Niger,2248.26,42.64,67.01
Nigeria,2316.49,55.34,52.78
North Korea,2162.41,36.67,65.31
Norway,3316.56,141.12,102.51
Pakistan,2325.95,59.77,59.25
Panama,2327.87,64.78,63.73
Paraguay,2547.79,78.34,71.85
Peru,2268.41,43.15,60.13
Philippines,2309.72,42.25,52.58
Poland,3413.49,114.12,102.49
Portugal,3299.85,117.47,100.53
Romania,3150.51,93.96,97.05
Rwanda,2083.03,19.86,51.0
Saint Lucia,2496.13,70.35,76.33
Saint Vincent and the Grenadines,2510.41,67.43,66.1
Samoa,2649.03,115.85,70.16
Sao Tome and Principe,2216.21,68.93,49.98
Saudi Arabia,2828.18,79.31,77.9
Senegal,2240.64,60.05,61.69
Sierra Leone,2103.38,55.83,46.5
Solomon Islands,2301.87,49.12,54.49
South Africa,2880.69,71.65,76.06
South Korea,3084.0,65.24,86.17
Spain,3201.92,135.92,105.11
Sri Lanka,2302.56,44.03,50.45
Suriname,2522.15,60.35,60.39
Sweden,3051.15,124.88,100.44
Switzerland,3407.59,153.96,95.57
Taiwan,2918.51,111.58,85.37
Tanzania,2155.28,35.01,54.9
Thailand,2415.67,46.67,54.3
Togo,2084.54,40.17,49.14
Trinidad and Tobago,2788.9,76.24,71.0
Tunisia,3125.85,83.86,86.47
Turkey,3588.18,95.85,104.0
Uganda,2233.33,34.69,51.85
United Arab Emirates,3281.33,103.2,106.7
United Kingdom,3279.08,137.94,95.8
United States,3514.54,144.9,108.25
Uruguay,2792.0,98.23,84.27
Vanuatu,2668.74,97.6,63.95
Venezuela,2537.26,73.39,65.73
Vietnam,2172.92,37.0,54.24
Yemen,2091.92,41.23,57.87
Zambia,2024.87,34.75,53.07
Zimbabwe,2095.05,51.8,51.97
